"name","address","zip","latitude","longitude","hours","remarks"
"Brookline Town hall","333 Washington Street, Brookline, MA","02445","42.334020","-71.120639","Weekdays: 8AM-5PM","2-6 Public Bathrooms, plus basement\r\nGender Specific\r\nHandicap Access\r\nVisible Signs"
"Brookline Main Library","361 Washington Street, Brookline, MA","02445","42.334638","-71.121384","Closed weekends in summer\r\n\r\nMonday-Thursday: 10AM–9PM\r\nFriday: 10AM–5PM","Main + Basement\r\nGender Specific\r\nHandicap Access\r\nVisible Signs"
"Coolidge Corner Branch Library","31 Pleasant Street, Brookline, MA","02445","42.343305","-71.119613","Closed Sundays in summer","Monday, Wednesday: 10AM–6PM\r\nTuesday, Thursday: 10AM–9PM\r\nFriday: 10AM–5PM\r\nSaturday: 10AM–5PM\r\nSunday: 1–5PM"
"Brookline Public Safety Building","350 Washington Street, Brookline, MA","02445","42.333826","-71.121453","24/7","Gender Specific\r\nHandicap Access\r\nVisible Signs"
"Putterham Branch Library","959 West Roxbury Pkwy, Brookline, MA","02445","42.301627","-71.149499","Closed weekends in summer\r\n\r\nMonday, Wednesday: 10AM–9PM\r\nTuesday, Thursday: 10AM–6PM\r\nFriday: 10AM–5PM","Gender Specific\r\nHandicap Access\r\nVisible Signs"
"Amory Park","45 Amory St, Brookline, MA","02445","42.344631","-71.113486","Dawn-Dusk","Seasonal: mid-April to mid-November\r\n\r\nGender Specific\r\nVisible Signs"
"Harry Downes Field","67 Highland Road, Brookline, MA","02445","42.325840","-71.118932","Dawn-Dusk","Seasonal: mid-April to mid-November\r\n\r\nNear Olmsted Park - off Pond Ave.\r\n\r\nGender Specific\r\nVisible Signs"
"Larz Anderson Park","358 Goddard Ave, Brookline, MA","02445","42.312051","-71.138855","Dawn-Dusk","Seasonal: May-October\r\n\r\nNext to the playground and picnic area by the Goddard Avenue parking lot\r\n\r\nGender Specific\r\nVisible Signs"
"Environmental Center at Soule Recreation Center","652 Hammond St, Chestnut Hill, MA","02467","42.324776","-71.164593","7AM-8PM","Seasonal: mid-April to mid-November"
"Jean B. Waldstein Playground","1 Strathmore Rd, Brookline, MA","02445","42.336333","-71.145027","Noon-Dusk","Seasonal: mid-April to mid-November\r\n\r\nGender Specific\r\nVisible Signs"
"Kiranne Aquatics Center","60 Tappan Street, Brookline, MA","02445","42.331868","-71.128752","6AM-10PM",""
"Tappan Gym","66 Tappan Street, Brookline, MA","02445","42.331868","-71.128752","Weeknights","Seasonal: September to May"
"Lynch Municipal Golf Course","1281 West Roxbury Pkwy, Brookline, MA","02445","42.310165","-71.162307","Dawn to Dusk","Seasonal: April through November"
"Jack Kirrane Ice Skating Rink","25 Newton Street, Brookline, MA","02445","42.311733","-71.134282","Tuesday, Thursday: 9:30AM-12PM\r\nFriday: 12PM-2PM, 7PM-10PM\r\nSaturday, Sunday: 12-5PM","Seasonal: December through February"
"Eliot Administration Building","133 Eliot Street, Brookline, MA","02445","42.328949","-71.149068","Weekdays: 8:30AM-5PM\r\nWeekends: Closed","near Heath School"
"Brookline Senior Center","93 Winchester Street, Brookline, MA","02445","42.343547","-71.128047","TBD",""
"Boston Fire Department Division One Headquarters","125 Purchase Street, Boston, MA","02201","42.354859","-71.052786","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District A-15","40 Sudbury St, Boston, MA","02114","42.362680","-71.058023","24/7","One Unisex, Wheelchair-accessible Stall\r\nGender-specific Bathrooms (One Male Stall, One Female Stall)\r\nNo Family Bathrooms\r\nDon't Need to Use Stairs to Enter Building, Bathroom\r\nVisitors Must Be Buzzed in"
"Chart House","60 Long Wharf, Boston, MA","02214","42.360152","-71.049392","11 AM - 11 PM","One wheelchair accessible stall\r\nGender-specific bathrooms (two male, four female)\r\nDon't need to use stairs to enter building, bathroom"
"Boston City Toilet","206 Atlantic Avenue, Boston, MA","02210","42.360429","-71.048072","24/7","Wheelchair-accessible, unisex stall\r\nNo family bathroom\r\nFare Control: Costs 25 cents per use\r\nDon't need to use stairs to enter building, bathroom"
"Boston City Toilet","2 Long Wharf, Boston, MA","02210","42.359970","-71.049694","24/7","Wheelchair-accessible, unisex stall\r\nNo family bathroom\r\nFare Control: Costs 25 cents per use\r\nDon't need to use stairs to enter building, bathroom"
"Faneuil Hall","4 S Market St, Boston, MA","02109","42.359706","-71.055068","Monday through Saturday: 10AM - 9PM\r\nSunday: 11AM - 7PM","Wheelchair-accessible stalls\r\nGender specific bathrooms (two male stalls, two female stalls)\r\nNo family bathrooms (changing stations in all restrooms)\r\nRestrooms accessible by elevator"
"Long Wharf Marriott","296 State St, Boston, MA","02109","42.360200","-71.050852","24/7","Wheelchair accessible stalls\r\nGender-specific bathrooms (changing tables located in bathrooms)\r\nBathrooms located outside the ground floor space on the starbucks-side, facing christopher columbus park. Also found in the second-floor lobby of the hotel.\r\nDon't need to use stairs to enter building, bathroom"
"BCYF Paris Street","112 Paris St, Boston, MA","02128","42.372899","-71.037545","Monday through Saturday: 6:30 AM - 9 PM\r\nSunday: 9 AM - 5 PM","Wheelchair-accessible stalls\r\nGender specific bathrooms (three male stalls, three female stalls)\r\nUnisex bathroom\r\nFamily bathroom\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Paris Street Pool","113 Paris St, Boston, MA","02128","42.372417","-71.036872","Weekdays: 6:30 AM - 8:30 PM\r\nWeekends: Closed","Wheelchair-accessible stalls\r\nGender specific bathrooms (two male stalls, three female stalls)\r\nUnisex bathroom\r\nFamily bathroom\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Pino","86 Boardman St, Boston, MA","02128","42.389762","-71.011259","Monday through Friday: 6:30 AM - 9 PM\r\nSaturday: 9 AM - 5 PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (three male stalls, three female stall)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston East Apartments","126 Border St, Boston, MA","02128","42.373569","-71.040992","10AM - 6PM","Wheelchair accessible stalls\r\nTwo unisex stalls; no gender-specific or family bathrooms\r\nDon't need to use stairs to enter building or bathroom\r\nUse the kiosk to register and enter"
"Boston Fire Department District 1, Engine 5","360 Saratoga St, Boston, MA","02128","42.379100","-71.030221","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Fire Department District 1, Engine 9, and Ladder 2","239 Sumner St, Boston, MA","02128","42.368167","-71.038642","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Fire Department District 1, Engine 56, and Ladder 21","1 Ashley St, Boston, MA","02128","42.387914","-71.003919","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District A-7","69 Paris Street, Boston, MA","02128","42.371244","-71.038747","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - East Boston","365 S Bremen St, Boston, MA","02128","42.375375","-71.031354","Monday, Thursday: 12PM - 8PM\r\nTuesday, Wednesday: 10AM - 6PM\r\nFriday, Saturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (four male stalls, four female stalls)\r\nUnisex bathroom\r\nFamily bathroom (there are changing tables in all bathrooms)\r\nDon't need to use stairs to enter building, bathroom"
"Constitution Beach","0 Barnes Avenue, Boston, MA","02128","42.385791","-71.006407","Dawn to Dusk","SEASONAL (MEMORIAL DAY TO COLUMBUS DAY)\r\n\r\nWheelchair Accessible Stalls\r\nGender-specific Bathrooms (One Male Stall, Three Female Stalls)\r\nNo Family Bathrooms\r\nDon't Need to Use Stairs to Enter Building or Bathroom"
"Eddy Apartments","10 New St, Boston, MA","02128","42.370909","-71.043852","24/7","Wheelchair accessible stalls \r\nTwo unisex stalls; no gender-specific or family bathrooms\r\nDon't need to use stairs to enter building or bathroom\r\nWait for concierge to open door"
"Piers Park","233 Marginal Street, Boston, MA","02128","42.363545","-71.033230","6AM-11PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (two male stalls, two female stalls)\r\nFamily bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Portside at East Pier","40 E Pier Dr, East Boston, MA","02128","42.366380","-71.040132","10AM - 7PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (one male stall, two female stalls)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom\r\nRing bell for concierge to buzz in visitors"
"313 Congress St","313 Congress St, Boston, MA","02210","42.351115","-71.050194","Weekdays: 8AM - 6PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (two male stalls and two female stalls)\r\nNo family bathroom\r\nLocated on first floor; don't need to use stairs to enter building or bathroom"
"51 Sleeper Street","51 Sleeper Street, Boston, MA","02210","42.352525","-71.048493","Weekdays: 8AM - 6PM\r\nSaturday: 7AM - 12PM","One wheelchair, unisex accessible stall\r\nNo gender-specific or family bathrooms\r\n\r\nLocated in lobby; don't need to use stairs to enter building or bathroom\r\n\r\nAdditional bathroom in restaurant open until 1AM six days a week\r\n\r\nSecurity available until 10PM, Monday through Friday; after hours, you need a card to access the bathroom"
"Artist Building at 300 Summer","300 Summer St, Boston, MA","02210","42.349906","-71.049141","Weekdays: 6AM - 5PM","Three Wheelchair Accessible, Unisex Stalls\r\nNo Gender-specific or Family Bathrooms\r\nPick Up Key at Cafe Counter on Mezzanine\r\nDon't Need to Use Stairs to Enter Building or Bathroom"
"Boston Children's Museum","308 Congress St, Boston, MA","02210","42.351472","-71.049897","Saturday through Thursday: 10AM - 5PM\r\nFriday: 10AM - 9PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (three male stalls and three female stalls)\r\nChanging tables in men and women's bathrooms; bathrooms located on first floor near entrance \r\nDon't need to use stairs to enter building or bathroom"
"Boston Tea Party Ship","306 Congress St, Boston, MA","02210","42.352199","-71.051304","9AM - 6PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (six male stalls and six female stalls)\r\nNo family bathroom; changing table located in bathrooms\r\nLocated on the upper level; don't need to use stairs to enter building or bathroom"
"Envoy Hotel","70 Sleeper St, Boston, MA","02210","42.353879","-71.048257","Sunday through Tuesday: 6AM - 11PM\r\nWednesday through Saturday: 6AM - 12AM","Wheelchair accessible stalls\r\nGender-specific bathrooms (three male stalls and three female stalls)\r\nNo family bathroom; changing table in men's and women's bathroom \r\nDon't need to use stairs to enter building or bathroom; afer hours, hotel only accessible by guestroom key access"
"Independence Wharf","470 Atlantic Avenue, Boston, MA","02210","42.354432","-71.051729","7AM - 6PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (one male stall and one female stall)\r\nUnisex bathroom doubles as family bathroom\r\nDon't need to use stairs to enter building or bathroom\r\nLocated on ground floor; need to be buzzed in by security after hours"
"Intercontinental Hotel","510 Atlantic Ave, Boston, MA","02210","42.353792","-71.052006","24/7","Wheelchair accessible stalls\r\nGender-specific bathrooms (nine male stalls and three female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building or bathroom; first floor lobby restrooms are for general public"
"BCYF Hyde Park","1179 River St, Hyde Park, MA","02136","42.256421","-71.120995","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (two male stalls, three female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nMain entrance has stairs (accessible entrance not always open)\r\nVisitors must sign in at front desk"
"Boston Fire Department District 12, Engine 48, and Ladder 28","60 Fairmount Ave, Hyde Park, MA","02136","42.255142","-71.119838","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Fire Department District 12, Engine 49","209 Neponset Valley Pkwy, Hyde Park, MA","02136","42.236764","-71.131252","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District E-18","1249 Hyde Park Ave, Hyde Park, MA","02136","42.256429","-71.124278","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Hyde Park","35 Harvard Avenue, Hyde Park, MA","02136","42.256870","-71.122235","Monday and Thursday: 12PM - 8PM\r\nTuesday and Wednesday: 10AM - 6PM\r\nFriday and Saturday: 9 AM - 5 PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, one female stall)\r\nFamily bathroom\r\nDon't need to use stairs to enter building, bathroom\r\nWheelchair accessible upstairs, changing table downstairs"
"BCYF Curtis Hall","20 South Street, Boston, MA","02130","42.308836","-71.114945","Montay through Saturday: 6:30AM - 9PM\r\nSunday: 9AM - 5PM","Wheelchair-accessible stalls\r\nGender-specific bathrooms (five male stalls, five female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Fire Department Division 2 Headquarters","746 Centre St, Boston, MA","02130","42.310542","-71.114418","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District E-13","3347 Washington St, Boston, MA","02130","42.309583","-71.104553","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must be buzzed in"
"Boston Public Library - Connolly","433 Centre St, Jamaica Plain, MA","02130","42.320652","-71.111086","Monday: 12PM - 8PM\r\nTuesday through Thursday: 10AM - 6PM\r\nFriday: 9AM - 5PM\r\nSaturday: 9AM - 2PM\r\nSunday: CLOSED","One unisex, wheelchair-accessible stall\r\nNo family bathrooms (changing table in unisex bathroom)\r\nThere is a ramp and elevator for wheelchair access"
"Boston Public Library - Jamaica Plain","12 Sedgwick St, Jamaica Plain, MA","02130","42.308586","-71.115042","Monday through Wednesday: 10AM - 6PM\r\nThursday: 12PM - 8PM\r\nFriday and Saturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, four female stalls)\r\nOne unisex bathroom\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Jamaica Pond Boat House","507 Jamaicaway, Jamaica Plain, MA","02130","42.315828","-71.117459","Dawn to Dusk","One wheelchair-accessible stall\r\nGender-specific bathrooms (one male stall, four female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"BCYF Gallivan","61 Woodruff Way, Boston, MA","02126","42.275221","-71.082406","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (three male stalls, three female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Police Department District B-3","1165 Blue Hill Avenue, Boston, MA","02124","42.284683","-71.091690","24/7","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, two female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must be buzzed in"
"Boston Public Library - Mattapan","1350 Blue Hill Avenue, Mattapan, MA","02126","42.277345","-71.093005","Monday and Wednesday: 10AM - 6PM\r\nTuesday and Thursday: 12PM - 8PM\r\nFriday and Saturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (three male stalls, five female stalls)\r\nFamily bathroom\r\nDon't need to use stairs to enter building, bathroom"
"BCYF Tobin","1481 Tremont St, Boston, MA","02120","42.332154","-71.098538","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (two male stalls, four female stalls)\r\nNo family bathrooms\r\nMain entrance has stairs (accessible entrance not always open)\r\nVisitors must sign in at front desk"
"Battery Wharf Boston Hotel","3 Battery Wharf, Boston, MA","02109","42.367342","-71.050388","24/7","Wheelchair accessible stalls\r\nGender-specific bathrooms (one male stall and one female stall)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"BCYF Mirabella Pool","475 Commercial Street, Boston, MA","02109","42.367526","-71.053129","7AM - 8PM","SEASONAL: ONLY OPEN DURING THE SUMMER, WEATHER PERMITTING\r\n\r\nWheelchair-accessible stalls\r\nGender-specific bathrooms (three male stalls, four female stalls)\r\nNo family bathrooms\r\nNo unisex bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Nazzaro","30 N Bennet St, Boston, MA","02113","42.365301","-71.054491","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (two male stalls, three female stalls)\r\nNo family bathrooms\r\nNo unisex adult bathrooms (children's bathroom is unisex)\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Fire Department Marine 1","50 Battery St, Boston, MA","02109","42.366702","-71.049326","24/7","No wheelchair accessible stall\r\nGender-specific bathrooms (one male stall and one female stall)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Boston Public Library - North End","25 Parmenter St, Boston, MA","02113","42.364013","-71.054998","Monday, Tuesday, and Thursday: 10AM - 6PM\r\nWednesday: 12PM - 8PM\r\nFriday: 9AM - 5PM\r\nSaturday: 9AM - 2PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, one female stall)\r\nFamily bathroom\r\nUnisex bathroom (changing table in unisex bathroom)\r\nDon't need to use stairs to enter building, bathroom"
"Boston Yacht Haven Inn and Marina","87 Commercial Wharf, Boston, MA","02110","42.362416","-71.051481","8AM - 6PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (one male stall and one female stall)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building or bathroom"
"Boston City Toilet","35 Commercial Street, Boston, MA","02109","42.366234","-71.051120","24/7","Wheelchair-accessible, unisex stall\r\nNo family bathroom\r\nFare control: costs 25 cents per use\r\nDon't need to use stairs to enter building, bathroom"
"DCR Steriti Memorial Rink","561 Commercial Street, Boston, MA","02109","42.368377","-71.056964","Weekdays: 12PM - 10PM\r\nWeekends: 7AM - 10PM","SEASONAL (NOVEMBER 17 - MARCH 17)\r\n\r\nWheelchair accessible stalls\r\nGender-specific stalls (two male stalls and two urinals, five female stalls)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Joe's American Bar & Grill","100 Atlantic Ave, Boston, MA","02110","42.362100","-71.051048","Monday through Thursday: 11AM - 11PM\r\nFriday: 11AM - 12PM\r\nSaturday: 9AM - 12AM\r\nSunday: 9AM - 11PM","Wheelchair accessible stall\r\nGender-specific bathroom (two male stalls and seven female stalls)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom"
"Pilot House","32 Atlantic Ave, Boston, MA","02110","42.363396","-71.050794","24/7","Wheelchair accessible stalls\r\nNo gender specific bathroom\r\nOne unisex stall and family bathroom; family stall is ada compliant\r\nSecurity on site; don't need to use stairs to enter building or bathroom"
"Sunshine Biscuit Building","226 Causeway St, Boston, MA","02114","42.366594","-71.059823","Weekdays: 8:30AM - 7:30PM\r\nWeekends: 10AM - 6PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (2 male stalls and one urinal, three female stalls)\r\nNo family bathroom \r\nDon't need to use stairs to enter building or bathroom\r\nRing bell or knock on door after hours; security always on call at front desk"
"BCYF Flaherty Pool","160 Florence St, Roslindale, MA","02131","42.288398","-71.122158","Weekdays: 5:30AM - 9PM\r\nSaturday: 7AM - 3PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender specific bathrooms (two male stalls, four female stalls)\r\nOne unisex bathroom stall\r\nOne family bathroom\r\nAll people entering must talk to staff at front desk\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Menino","125 Brookway Rd, Boston, MA","02131","42.292374","-71.120180","Weekdays: 6:30 AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender specific bathrooms (three male stalls, three female stalls)\r\nOne unisex bathroom stall\r\nOne family bathroom (not wheelchair-accessible)\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Roslindale","6 Cummins Hwy, Boston, MA","02131","42.286348","-71.127804","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender specific bathrooms (one male stall, two female stalls)\r\nNo family bathrooms (child-size bathrooms are unisex)\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Public Library - Roslindale","4246 Washington St, Roslindale, MA","02131","42.285596","-71.128557","Monday through Wednesday: 10AM - 6PM\r\nThursday: 12PM - 8PM\r\nFriday: 9AM - 5PM\r\nSaturday: 9AM - 2PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender specific bathrooms (one male stall, one female stall)\r\nNo family bathrooms (changing table in woman's bathroom)\r\nDon't need to use stairs to enter building, bathroom"
"BCYF Shelburne","2730 Washington St, Boston, MA","02119","42.322740","-71.090345","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (two male stalls, four female stalls)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"BCYF Vine Street","339 Dudley St, Roxbury, MA","02119","42.326785","-71.076712","Weekdays: 6:30AM - 9PM\r\nSaturday: 9AM - 5PM","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, one female stall)\r\nFamily bathroom\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Fire Department District 7 Engine 14, Ladder 4, Safety Chief H-1","174 Dudley St, Boston, MA","02119","42.328861","-71.082348","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Fire Department District 9, Engine 42, and Rescue 2","1870 Columbus Ave, Boston, MA","02119","42.318397","-71.097776","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Fire Department District 9, Engine 37, and Ladder 26","560 Huntington Ave, Boston, MA","02115","42.337190","-71.096088","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Headquarters","1 Schroeder Plaza, Boston, MA","02120","42.334104","-71.090867","24/7","One unisex, wheelchair-accessible stall\r\nGender-specific bathrooms (one male stall, one female stall)\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District B-2","2400 Washington Street, Roxbury, MA","02119","42.328411","-71.085698","24/7","One unisex, wheelchair-accessible stall\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must be buzzed in"
"Boston City Toilet","140 Dudley St, Boston, MA","02119","42.328785","-71.083908","24/7","Wheelchair-accessible, unisex stall\r\nNo family bathroom\r\nFare control: costs 25 cents per use\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Egleston Square","2044 Columbus Ave, Boston, MA","02119","42.314106","-71.095717","Monday, Tuesday, and Thursday: 10AM - 6PM\r\nWednesday: 12PM - 8PM\r\nFriday: 9AM - 5PM\r\nSaturday: 9AM - 2PM\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender specific bathrooms (one male stall, one female stall)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"75 on Liberty Wharf","220 Northern Ave, Boston, MA","02210","42.349131","-71.038888","11AM - 11PM","Wheelchair accessible stalls\r\nNo gender-specific or family bathrooms \r\nDon't need to use stairs to enter building, bathroom\r\nRestaurant may close early if business is slow"
"Del Frisco's Double Eagle Steak House","250 Northern Ave, Boston, MA","02210","42.348751","-71.038122","Weekdays: 11:30AM - 11PM\r\nWeekends: 3PM - 11PM","Wheelchair accessible stalls\r\nGender-specific bathrooms (two male stalls and two urinals, six female stalls)\r\nNo family bathrooms (changing table in women's room)\r\nDon't need to use stairs to enter building, bathroom; restrooms accessible by stairs or elevators"
"Fan Pier Boston","1 Marina Park Drive, Boston, MA","02210","42.352943","-71.045292","24/7","One wheelchair accessible, unisex stall\r\nDon't need to use stairs to enter building, bathroom\r\nPress intercom button outside restroom door for access"
"Institute of Contemporary Art","25 Harbor Shore Dr, Boston, MA","02210","42.352865","-71.042963","Tuesday through Thursday: 10AM - 5PM\r\nFriday: 10AM - 9PM\r\nSaturday: 1AM - 5PM","Wheelchair accessible stalls and a family bathroom\r\nGender-specific bathrooms (10 male stalls, 15 females stalls, four unisex stalls) \r\nDon't need to use stairs to enter building, bathroom; first-floor bathrooms open to publish, four-floor bathrooms for museum visitors"
"Legal Harborside","270 Northern Ave, Boston, MA","02210","42.348622","-71.037781","Weekdays: 11AM - 10PM\r\nWeekends: 11AM - 12AM","Wheelchair accessible stalls\r\nGender-specific bathrooms (located on first, second, and third floor; changing station in first floor bathrooms)\r\nDon't need to use stairs to enter building, bathroom"
"Park Lane Seaport Apartments","1 Park Lane, Boston, MA","02210","42.348322","-71.038190","24/7","Wheelchair accessible stalls\r\nGender-specific bathrooms (located on first, second, and third floor; changing station in first floor bathrooms)\r\nDon't need to use stairs to enter building, bathroom"
"Seaport East","2 Seaport Lane, Boston, MA","02210","42.349124","-71.040708","Weekdays: 8AM - 6PM","Wheelchair accessible stalls\r\nGender-specific stalls (six male stalls, eight female stalls); no family bathroom\r\nDon't need to use stairs to enter building, bathroom\r\nRestrooms are on second floor, you must check in with security"
"Seaport West","155 Seaport Boulevard, Boston, MA","02210","42.350042","-71.042693","Weekdays: 6AM - 6PM","Wheelchair accessible stalls\r\nGender-specific stalls (three male stalls, five female stalls); no family bathroom\r\nDon't need to use stairs to enter building or bathroom\r\nBathrooms located on second floor via the parking garage elevators"
"Tony C's Seaport","250 Northern Ave, Boston, MA","02210","42.348751","-71.038122","11AM - 2AM","Wheelchair accessible stalls\r\nGender-specific bathrooms (four urinals and two male stalls, five female stalls)\r\nNo family bathroom; changing tables in both bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"88 Black Falcon Avenue","88 Black Falcon Avenue, Boston, MA","02210","42.343848","-71.024180","24/7","Wheelchair accessible stalls\r\nGender-specific bathrooms (two male stalls and one urinal, three female stalls)\r\nNo family bathroom\r\nDon't need to use stairs to enter building or bathroom\r\nEnter through center lobby where security is located"
"BCYF Curley","1663 Columbia Rd, Boston, MA","02127","42.329221","-71.036767","Monday through Saturday: 6:30AM - 9PM\r\nSunday: 9AM - 5PM","Wheelchair-accessible stalls\r\nGender-specific bathrooms (16 male stalls, 12 female stalls)\r\nFamily bathrooms (for women and children only)\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must sign in at front desk"
"Boston Fire Department District 6, Engine 39, Ladder 18, and C-11 Hospital Rep","272 D St, Boston, MA","02127","42.339621","-71.050500","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Police Department District C-6","101 W Broadway, Boston, MA","02127","42.341126","-71.054954","24/7","Gender-specific bathrooms (one male stall, one female stall)\r\nNo family bathrooms\r\nVisitors must be buzzed in"
